Time,8/17/2019,8/10/2019,8/3/2019
0:00,2465,2305,2139
1:00,1451,1442,1206
2:00,1080,1178,1142
3:00,626,702,843
4:00,470,557,575
5:00,737,729,732
6:00,1415,1297,1367
7:00,2742,2375,2237
8:00,3338,3195,3318
9:00,3855,3983,4060
10:00,4110,4962,5271
11:00,4451,5406,5514
12:00,3964,6433,6019
13:00,3844,6321,6380
14:00,4609,6371,6431
15:00,4684,6080,6273
16:00,4668,6333,6149
17:00,4644,5753,5487
18:00,3920,5040,4898
19:00,3712,4397,4660
20:00,3679,4655,4339
21:00,3214,4534,4156
22:00,3125,3797,4013
23:00,2930,3073,3181
